Term: said, Frequency: 462
Term: game, Frequency: 14
Term: left, Frequency: 14
Term: give, Frequency: 14
Term: everyth, Frequency: 14
Term: puzzl, Frequency: 14
Term: knew, Frequency: 14
Term: sea, Frequency: 14
Term: suppos, Frequency: 14
Term: creatur, Frequency: 14
Term: better, Frequency: 14
Term: silenc, Frequency: 14
Term: ye, Frequency: 14
Term: mouth, Frequency: 14
Term: footman, Frequency: 14
Term: babi, Frequency: 14
Term: mad, Frequency: 14
Term: beauti, Frequency: 14
Term: book, Frequency: 13
Term: mind, Frequency: 13
Term: suddenli, Frequency: 13
Term: watch, Frequency: 13
Term: saw, Frequency: 13
Term: though, Frequency: 13
Term: still, Frequency: 13
Term: peopl, Frequency: 13
Term: sound, Frequency: 13
Term: behind, Frequency: 13
Term: everi, Frequency: 13
Term: realli, Frequency: 13
Term: hold, Frequency: 13
Term: far, Frequency: 13
Term: kept, Frequency: 13
Term: lesson, Frequency: 13
Term: alwai, Frequency: 13
Term: dodo, Frequency: 13
Term: whole, Frequency: 13
Term: execut, Frequency: 13
Term: room, Frequency: 13
Term: gone, Frequency: 13
Term: keep, Frequency: 13
Term: mai, Frequency: 13
Term: follow, Frequency: 13
Term: cook, Frequency: 13
Term: twinkl, Frequency: 13
Term: lobster, Frequency: 13
Term: manag, Frequency: 12
Term: mani, Frequency: 12
Term: listen, Frequency: 12
Term: among, Frequency: 12
Term: name, Frequency: 12
Term: els, Frequency: 12
Term: afraid, Frequency: 12
Term: best, Frequency: 12
Term: hardli, Frequency: 12
Term: surpris, Frequency: 12
Term: life, Frequency: 12
Term: deal, Frequency: 12
Term: fan, Frequency: 12
Term: queer, Frequency: 12
Term: tail, Frequency: 12
Term: rest, Frequency: 12
Term: confus, Frequency: 12
Term: bird, Frequency: 12
Term: run, Frequency: 12
Term: write, Frequency: 12
Term: slate, Frequency: 12
Term: serpent, Frequency: 12
Term: pigeon, Frequency: 12
Term: appear, Frequency: 12
Term: sigh, Frequency: 12
Term: interrupt, Frequency: 12
Term: majesti, Frequency: 12
Term: join, Frequency: 12
Term: adventur, Frequency: 11
Term: chapter, Frequency: 11
Term: sister, Frequency: 11
Term: convers, Frequency: 11
Term: whether, Frequency: 11
Term: glad, Frequency: 11
Term: matter, Frequency: 11
Term: tear, Frequency: 11
Term: box, Frequency: 11
Term: plai, Frequency: 11
Term: croquet, Frequency: 11
Term: child, Frequency: 11
Term: pool, Frequency: 11
Term: glove, Frequency: 11
Term: grin, Frequency: 11
Term: nearli, Frequency: 11
Term: move, Frequency: 11
Term: explain, Frequency: 11
Term: trial, Frequency: 11
Term: reason, Frequency: 11
Term: place, Frequency: 11
Term: shout, Frequency: 11
Term: wit, Frequency: 11
Term: sneez, Frequency: 11
Term: ear, Frequency: 11
Term: offend, Frequency: 11
Term: soldier, Frequency: 11
Term: consid, Frequency: 10
Term: either, Frequency: 10
Term: fanci, Frequency: 10
Term: jump, Frequency: 10
Term: sight, Frequency: 10
Term: glass, Frequency: 10
Term: small, Frequency: 10
Term: bottl, Frequency: 10
Term: children, Frequency: 10
Term: gener, Frequency: 10
Term: direct, Frequency: 10
Term: foot, Frequency: 10
Term: stop, Frequency: 10
Term: help, Frequency: 10
Term: mine, Frequency: 10
Term: learn, Frequency: 10
Term: believ, Frequency: 10
Term: butter, Frequency: 10
Term: hedgehog, Frequency: 10
Term: heart, Frequency: 10
Term: fall, Frequency: 9
Term: sever, Frequency: 9
Term: dream, Frequency: 9
Term: hall, Frequency: 9
Term: kei, Frequency: 9
Term: rate, Frequency: 9
Term: work, Frequency: 9
Term: differ, Frequency: 9
Term: beg, Frequency: 9
Term: trembl, Frequency: 9
Term: parti, Frequency: 9
Term: continu, Frequency: 9
Term: piec, Frequency: 9
Term: whisper, Frequency: 9
Term: angrili, Frequency: 9
Term: shook, Frequency: 9
Term: least, Frequency: 9
Term: busi, Frequency: 9
Term: togeth, Frequency: 9
Term: crowd, Frequency: 9
Term: timidli, Frequency: 9
Term: sob, Frequency: 9
Term: fish, Frequency: 9
Term: order, Frequency: 9
Term: knave, Frequency: 9
Term: moral, Frequency: 9
Term: mark, Frequency: 9
Term: slowli, Frequency: 8
Term: top, Frequency: 8
Term: four, Frequency: 8
Term: opportun, Frequency: 8
Term: distanc, Frequency: 8
Term: nice, Frequency: 8
Term: hope, Frequency: 8
Term: dry, Frequency: 8
Term: bright, Frequency: 8
Term: drink, Frequency: 8
Term: histori, Frequency: 8
Term: fact, Frequency: 8
Term: tart, Frequency: 8
Term: ly, Frequency: 8
Term: readi, Frequency: 8
Term: hard, Frequency: 8
Term: five, Frequency: 8
Term: william, Frequency: 8
Term: eagerli, Frequency: 8
Term: everybodi, Frequency: 8
Term: exactli, Frequency: 8
Term: stori, Frequency: 8
Term: nobodi, Frequency: 8
Term: window, Frequency: 8
Term: wood, Frequency: 8
Term: mushroom, Frequency: 8
Term: present, Frequency: 8
Term: nose, Frequency: 8
Term: draw, Frequency: 8
Term: frighten, Frequency: 8
Term: pepper, Frequency: 8
Term: ground, Frequency: 8
Term: vers, Frequency: 8
Term: asleep, Frequency: 8
Term: shoulder, Frequency: 8
Term: sing, Frequency: 8
Term: rule, Frequency: 8
Term: evid, Frequency: 8
Term: wonderland, Frequency: 7
Term: tire, Frequency: 7
Term: hot, Frequency: 7
Term: late, Frequency: 7
Term: world, Frequency: 7
Term: deep, Frequency: 7
Term: drop, Frequency: 7
Term: somebodi, Frequency: 7
Term: girl, Frequency: 7
Term: bat, Frequency: 7
Term: begun, Frequency: 7
Term: middl, Frequency: 7
Term: golden, Frequency: 7
Term: delight, Frequency: 7
Term: larger, Frequency: 7
Term: shut, Frequency: 7
Term: neck, Frequency: 7
Term: ventur, Frequency: 7
Term: person, Frequency: 7
Term: shoe, Frequency: 7
Term: kind, Frequency: 7
Term: nonsens, Frequency: 7
Term: sir, Frequency: 7
Term: usual, Frequency: 7
Term: goe, Frequency: 7
Term: hair, Frequency: 7
Term: chin, Frequency: 7
Term: sentenc, Frequency: 7
Term: pardon, Frequency: 7
Term: subject, Frequency: 7
Term: fetch, Frequency: 7
Term: lori, Frequency: 7
Term: import, Frequency: 7
Term: breath, Frequency: 7
Term: other, Frequency: 7
Term: temper, Frequency: 7
Term: swim, Frequency: 7
Term: stood, Frequency: 7
Term: chimnei, Frequency: 7
Term: grown, Frequency: 7
Term: shriek, Frequency: 7
Term: puppi, Frequency: 7
Term: paw, Frequency: 7
Term: stand, Frequency: 7
Term: silent, Frequency: 7
Term: cheshir, Frequency: 7
Term: carri, Frequency: 7
Term: song, Frequency: 7
Term: bread, Frequency: 7
Term: treacl, Frequency: 7
Term: rose, Frequency: 7
Term: scream, Frequency: 7
Term: flamingo, Frequency: 7
Term: soo, Frequency: 7
Term: oop, Frequency: 7
Term: pass, Frequency: 7
Term: pictur, Frequency: 6
Term: stupid, Frequency: 6
Term: troubl, Frequency: 6
Term: pocket, Frequency: 6
Term: fell, Frequency: 6
Term: written, Frequency: 6
Term: miss, Frequency: 6
Term: catch, Frequency: 6
Term: roof, Frequency: 6
Term: inch, Frequency: 6
Term: along, Frequency: 6
Term: cut, Frequency: 6
Term: forgotten, Frequency: 6
Term: almost, Frequency: 6
Term: tast, Frequency: 6
Term: ten, Frequency: 6
Term: bring, Frequency: 6
Term: cake, Frequency: 6
Term: care, Frequency: 6
Term: english, Frequency: 6
Term: pair, Frequency: 6
Term: love, Frequency: 6
Term: seven, Frequency: 6
Term: stai, Frequency: 6
Term: guess, Frequency: 6
Term: water, Frequency: 6
Term: understand, Frequency: 6
Term: anim, Frequency: 6
Term: nurs, Frequency: 6
Term: dog, Frequency: 6
Term: race, Frequency: 6
Term: cross, Frequency: 6
Term: polit, Frequency: 6
Term: melancholi, Frequency: 6
Term: smile, Frequency: 6
Term: hour, Frequency: 6
Term: choru, Frequency: 6
Term: prize, Frequency: 6
Term: grave, Frequency: 6
Term: impati, Frequency: 6
Term: broken, Frequency: 6
Term: becom, Frequency: 6
Term: full, Frequency: 6
Term: loud, Frequency: 6
Term: sharp, Frequency: 6
Term: doubt, Frequency: 6
Term: lizard, Frequency: 6
Term: guinea, Frequency: 6
Term: father, Frequency: 6
Term: youth, Frequency: 6
Term: violent, Frequency: 6
Term: sleep, Frequency: 6
Term: deni, Frequency: 6
Term: egg, Frequency: 6
Term: dish, Frequency: 6
Term: told, Frequency: 6
Term: growl, Frequency: 6
Term: beat, Frequency: 6
Term: wow, Frequency: 6
Term: dreadfulli, Frequency: 6
Term: exclaim, Frequency: 6
Term: interest, Frequency: 6
Term: process, Frequency: 6
Term: execution, Frequency: 6
Term: ti, Frequency: 6
Term: school, Frequency: 6
Term: e, Frequency: 6
Term: lewi, Frequency: 5
Term: carrol, Frequency: 5
Term: hole, Frequency: 5
Term: twice, Frequency: 5
Term: sleepi, Frequency: 5
Term: pick, Frequency: 5
Term: natur, Frequency: 5
Term: across, Frequency: 5
Term: curios, Frequency: 5
Term: fear, Frequency: 5
Term: home, Frequency: 5
Term: aloud, Frequency: 5
Term: new, Frequency: 5
Term: night, Frequency: 5
Term: sometim, Frequency: 5
Term: corner, Frequency: 5
Term: sadli, Frequency: 5
Term: leg, Frequency: 5
Term: wander, Frequency: 5
Term: simpl, Frequency: 5
Term: finger, Frequency: 5
Term: nervou, Frequency: 5
Term: shrink, Frequency: 5
Term: altogeth, Frequency: 5
Term: reach, Frequency: 5
Term: nine, Frequency: 5
Term: cry, Frequency: 5
Term: kid, Frequency: 5
Term: mutter, Frequency: 5
Term: morn, Frequency: 5
Term: ah, Frequency: 5
Term: wrong, Frequency: 5
Term: strang, Frequency: 5
Term: sudden, Frequency: 5
Term: caus, Frequency: 5
Term: case, Frequency: 5
Term: number, Frequency: 5
Term: swam, Frequency: 5
Term: nearer, Frequency: 5
Term: shrill, Frequency: 5
Term: angri, Frequency: 5
Term: show, Frequency: 5
Term: throw, Frequency: 5
Term: tale, Frequency: 5
Term: uncomfort, Frequency: 5
Term: argument, Frequency: 5
Term: point, Frequency: 5
Term: dare, Frequency: 5
Term: laugh, Frequency: 5
Term: bow, Frequency: 5
Term: judg, Frequency: 5
Term: attend, Frequency: 5
Term: young, Frequency: 5
Term: vanish, Frequency: 5
Term: plate, Frequency: 5
Term: chanc, Frequency: 5
Term: drew, Frequency: 5
Term: choke, Frequency: 5
Term: fellow, Frequency: 5
Term: thank, Frequency: 5
Term: instantli, Frequency: 5
Term: sky, Frequency: 5
Term: plan, Frequency: 5
Term: difficulti, Frequency: 5
Term: stick, Frequency: 5
Term: height, Frequency: 5
Term: quietli, Frequency: 5
Term: hookah, Frequency: 5
Term: man, Frequency: 5
Term: often, Frequency: 5
Term: nibbl, Frequency: 5
Term: settl, Frequency: 5
Term: knock, Frequency: 5
Term: meant, Frequency: 5
Term: grunt, Frequency: 5
Term: wave, Frequency: 5
Term: wash, Frequency: 5
Term: pack, Frequency: 5
Term: knee, Frequency: 5
Term: arch, Frequency: 5
Term: friend, Frequency: 5
Term: forget, Frequency: 5
Term: dig, Frequency: 5
Term: sorrow, Frequency: 5
Term: juror, Frequency: 5
Term: teacup, Frequency: 5
Term: remain, Frequency: 5
Term: offic, Frequency: 5
Term: behead, Frequency: 5
Term: suppress, Frequency: 5
Term: unimport, Frequency: 5
Term: mile, Frequency: 5
Term: prove, Frequency: 5
Term: fit, Frequency: 5
Term: bank, Frequency: 4
Term: peep, Frequency: 4
Term: worth, Frequency: 4
Term: dark, Frequency: 4
Term: fill, Frequency: 4
Term: true, Frequency: 4
Term: fallen, Frequency: 4
Term: earth, Frequency: 4
Term: mice, Frequency: 4
Term: passag, Frequency: 4
Term: tini, Frequency: 4
Term: except, Frequency: 4
Term: ala, Frequency: 4
Term: second, Frequency: 4
Term: lock, Frequency: 4
Term: led, Frequency: 4
Term: telescop, Frequency: 4
Term: paper, Frequency: 4
Term: deepli, Frequency: 4
Term: taught, Frequency: 4
Term: possibl, Frequency: 4
Term: sharpli, Frequency: 4
Term: fond, Frequency: 4
Term: expect, Frequency: 4
Term: boot, Frequency: 4
Term: savag, Frequency: 4
Term: ag, Frequency: 4
Term: mabel, Frequency: 4
Term: besid, Frequency: 4
Term: twelv, Frequency: 4
Term: capit, Frequency: 4
Term: hoars, Frequency: 4
Term: spread, Frequency: 4
Term: alon, Frequency: 4
Term: escap, Frequency: 4
Term: splash, Frequency: 4
Term: french, Frequency: 4
Term: fire, Frequency: 4
Term: pale, Frequency: 4
Term: passion, Frequency: 4
Term: shore, Frequency: 4
Term: duck, Frequency: 4
Term: frown, Frequency: 4
Term: solemnli, Frequency: 4
Term: immedi, Frequency: 4
Term: shape, Frequency: 4
Term: press, Frequency: 4
Term: thimbl, Frequency: 4
Term: short, Frequency: 4
Term: nois, Frequency: 4
Term: piti, Frequency: 4
Term: tongu, Frequency: 4
Term: particular, Frequency: 4
Term: sinc, Frequency: 4
Term: mari, Frequency: 4
Term: ann, Frequency: 4
Term: elbow, Frequency: 4
Term: outsid, Frequency: 4
Term: crash, Frequency: 4
Term: pat, Frequency: 4
Term: yer, Frequency: 4
Term: honour, Frequency: 4
Term: master, Frequency: 4
Term: dead, Frequency: 4
Term: lai, Frequency: 4
Term: held, Frequency: 4
Term: stretch, Frequency: 4
Term: grass, Frequency: 4
Term: fold, Frequency: 4
Term: encourag, Frequency: 4
Term: perfectli, Frequency: 4
Term: none, Frequency: 4
Term: stuff, Frequency: 4
Term: decidedli, Frequency: 4
Term: yawn, Frequency: 4
Term: thoughtfulli, Frequency: 4
Term: green, Frequency: 4
Term: indignantli, Frequency: 4
Term: taken, Frequency: 4
Term: otherwis, Frequency: 4
Term: invit, Frequency: 4
Term: letter, Frequency: 4
Term: howl, Frequency: 4
Term: kitchen, Frequency: 4
Term: busili, Frequency: 4
Term: figur, Frequency: 4
Term: shake, Frequency: 4
Term: less, Frequency: 4
Term: fast, Frequency: 4
Term: crumb, Frequency: 4
Term: fly, Frequency: 4
Term: pinch, Frequency: 4
Term: bottom, Frequency: 4
Term: upset, Frequency: 4
Term: m, Frequency: 4
Term: flower, Frequency: 4
Term: send, Frequency: 4
Term: player, Frequency: 4
Term: quarrel, Frequency: 4
Term: week, Frequency: 4
Term: quadril, Frequency: 4
Term: porpois, Frequency: 4
Term: ooti, Frequency: 4
Term: beau, Frequency: 4
Term: verdict, Frequency: 4
Term: jurymen, Frequency: 4
Term: toss, Frequency: 4
Term: hedg, Frequency: 3
Term: tumbl, Frequency: 3
Term: past, Frequency: 3
Term: stair, Frequency: 3
Term: somewher, Frequency: 3
Term: knowledg, Frequency: 3
Term: grand, Frequency: 3
Term: funni, Frequency: 3
Term: ma, Frequency: 3
Term: hurt, Frequency: 3
Term: lost, Frequency: 3
Term: whisker, Frequency: 3
Term: longer, Frequency: 3
Term: hang, Frequency: 3
Term: belong, Frequency: 3
Term: imposs, Frequency: 3
Term: label, Frequency: 3
Term: poison, Frequency: 3
Term: red, Frequency: 3
Term: burn, Frequency: 3
Term: knife, Frequency: 3
Term: certain, Frequency: 3
Term: later, Frequency: 3
Term: appl, Frequency: 3
Term: candl, Frequency: 3
Term: decid, Frequency: 3
Term: advis, Frequency: 3
Term: smaller, Frequency: 3
Term: dull, Frequency: 3
Term: patter, Frequency: 3
Term: return, Frequency: 3
Term: timid, Frequency: 3
Term: yesterdai, Frequency: 3
Term: twenti, Frequency: 3
Term: doth, Frequency: 3
Term: gentli, Frequency: 3
Term: wors, Frequency: 3
Term: declar, Frequency: 3
Term: slip, Frequency: 3
Term: o, Frequency: 3
Term: clear, Frequency: 3
Term: notion, Frequency: 3
Term: hate, Frequency: 3
Term: eaglet, Frequency: 3
Term: caucu, Frequency: 3
Term: fur, Frequency: 3
Term: sulki, Frequency: 3
Term: allow, Frequency: 3
Term: posit, Frequency: 3
Term: s, Frequency: 3
Term: frog, Frequency: 3
Term: meet, Frequency: 3
Term: crown, Frequency: 3
Term: paus, Frequency: 3
Term: pant, Frequency: 3
Term: cheer, Frequency: 3
Term: speech, Frequency: 3
Term: simpli, Frequency: 3
Term: solemn, Frequency: 3
Term: promis, Frequency: 3
Term: sad, Frequency: 3
Term: furi, Frequency: 3
Term: met, Frequency: 3
Term: wast, Frequency: 3
Term: humbl, Frequency: 3
Term: plead, Frequency: 3
Term: easili, Frequency: 3
Term: crab, Frequency: 3
Term: address, Frequency: 3
Term: carefulli, Frequency: 3
Term: suit, Frequency: 3
Term: bed, Frequency: 3
Term: mention, Frequency: 3
Term: hunt, Frequency: 3
Term: mistak, Frequency: 3
Term: real, Frequency: 3
Term: curl, Frequency: 3
Term: floor, Frequency: 3
Term: effect, Frequency: 3
Term: whatev, Frequency: 3
Term: comfort, Frequency: 3
Term: attempt, Frequency: 3
Term: em, Frequency: 3
Term: kick, Frequency: 3
Term: squeak, Frequency: 3
Term: sens, Frequency: 3
Term: rattl, Frequency: 3
Term: rush, Frequency: 3
Term: bark, Frequency: 3
Term: hungri, Frequency: 3
Term: edg, Frequency: 3
Term: contemptu, Frequency: 3
Term: brought, Frequency: 3
Term: prai, Frequency: 3
Term: jaw, Frequency: 3
Term: eel, Frequency: 3
Term: blow, Frequency: 3
Term: swallow, Frequency: 3
Term: free, Frequency: 3
Term: alarm, Frequency: 3
Term: rise, Frequency: 3
Term: succeed, Frequency: 3
Term: rais, Frequency: 3
Term: liveri, Frequency: 3
Term: loudli, Frequency: 3
Term: stare, Frequency: 3
Term: instanc, Frequency: 3
Term: smoke, Frequency: 3
Term: courag, Frequency: 3
Term: introduc, Frequency: 3
Term: advantag, Frequency: 3
Term: faster, Frequency: 3
Term: line, Frequency: 3
Term: boi, Frequency: 3
Term: caught, Frequency: 3
Term: doubl, Frequency: 3
Term: proper, Frequency: 3
Term: kill, Frequency: 3
Term: trot, Frequency: 3
Term: respect, Frequency: 3
Term: explan, Frequency: 3
Term: branch, Frequency: 3
Term: instead, Frequency: 3
Term: civil, Frequency: 3
Term: rude, Frequency: 3
Term: riddl, Frequency: 3
Term: fun, Frequency: 3
Term: o'clock, Frequency: 3
Term: year, Frequency: 3
Term: cautious, Frequency: 3
Term: music, Frequency: 3
Term: ladi, Frequency: 3
Term: rub, Frequency: 3
Term: manner, Frequency: 3
Term: paint, Frequency: 3
Term: check, Frequency: 3
Term: eager, Frequency: 3
Term: guest, Frequency: 3
Term: card, Frequency: 3
Term: needn't, Frequency: 3
Term: beast, Frequency: 3
Term: examin, Frequency: 3
Term: unfortun, Frequency: 3
Term: hush, Frequency: 3
Term: tuck, Frequency: 3
Term: aliv, Frequency: 3
Term: account, Frequency: 3
Term: fight, Frequency: 3
Term: anxiou, Frequency: 3
Term: prison, Frequency: 3
Term: mustard, Frequency: 3
Term: tortois, Frequency: 3
Term: drawl, Frequency: 3
Term: advanc, Frequency: 3
Term: toe, Frequency: 3
Term: snail, Frequency: 3
Term: oblig, Frequency: 3
Term: part, Frequency: 3
Term: around, Frequency: 3
Term: owl, Frequency: 3
Term: panther, Frequency: 3
Term: pie, Frequency: 3
Term: share, Frequency: 3
Term: trumpet, Frequency: 3
Term: spectacl, Frequency: 3
Term: pencil, Frequency: 3
Term: wrote, Frequency: 3
Term: list, Frequency: 3
Term: sign, Frequency: 3
Term: pleasur, Frequency: 2
Term: daisi, Frequency: 2
Term: chain, Frequency: 2
Term: afterward, Frequency: 2
Term: occur, Frequency: 2
Term: waistcoat, Frequency: 2
Term: start, Frequency: 2
Term: dip, Frequency: 2
Term: straight, Frequency: 2
Term: plenti, Frequency: 2
Term: cupboard, Frequency: 2
Term: shelv, Frequency: 2
Term: jar, Frequency: 2
Term: thousand, Frequency: 2
Term: learnt, Frequency: 2
Term: latitud, Frequency: 2
Term: longitud, Frequency: 2
Term: downward, Frequency: 2
Term: curtsei, Frequency: 2
Term: milk, Frequency: 2
Term: earnestli, Frequency: 2
Term: truth, Frequency: 2
Term: thump, Frequency: 2
Term: wind, Frequency: 2
Term: row, Frequency: 2
Term: rat, Frequency: 2
Term: fountain, Frequency: 2
Term: cool, Frequency: 2
Term: beautifulli, Frequency: 2
Term: wise, Frequency: 2
Term: wild, Frequency: 2
Term: unpleas, Frequency: 2
Term: sooner, Frequency: 2
Term: mix, Frequency: 2
Term: brighten, Frequency: 2
Term: advic, Frequency: 2
Term: pretend, Frequency: 2
Term: curious, Frequency: 2
Term: forgot, Frequency: 2
Term: bye, Frequency: 2
Term: asham, Frequency: 2
Term: struck, Frequency: 2
Term: desper, Frequency: 2
Term: ringlet, Frequency: 2
Term: six, Frequency: 2
Term: signifi, Frequency: 2
Term: pari, Frequency: 2
Term: rome, Frequency: 2
Term: lap, Frequency: 2
Term: pour, Frequency: 2
Term: neatli, Frequency: 2
Term: claw, Frequency: 2
Term: burst, Frequency: 2
Term: rapidli, Frequency: 2
Term: narrow, Frequency: 2
Term: bad, Frequency: 2
Term: railwai, Frequency: 2
Term: salt, Frequency: 2
Term: conclus, Frequency: 2
Term: wherev, Frequency: 2
Term: sand, Frequency: 2
Term: wink, Frequency: 2
Term: conqueror, Frequency: 2
Term: ago, Frequency: 2
Term: fright, Frequency: 2
Term: quiet, Frequency: 2
Term: pur, Frequency: 2
Term: brown, Frequency: 2
Term: dinner, Frequency: 2
Term: assembl, Frequency: 2
Term: wet, Frequency: 2
Term: older, Frequency: 2
Term: author, Frequency: 2
Term: ring, Frequency: 2
Term: whose, Frequency: 2
Term: earl, Frequency: 2
Term: edwin, Frequency: 2
Term: morcar, Frequency: 2
Term: mercia, Frequency: 2
Term: northumbria, Frequency: 2
Term: ugh, Frequency: 2
Term: proce, Frequency: 2
Term: archbishop, Frequency: 2
Term: hurriedli, Frequency: 2
Term: offer, Frequency: 2
Term: easi, Frequency: 2
Term: won, Frequency: 2
Term: forehead, Frequency: 2
Term: pull, Frequency: 2
Term: comfit, Frequency: 2
Term: luckili, Frequency: 2
Term: absurd, Frequency: 2
Term: complain, Frequency: 2
Term: d, Frequency: 2
Term: law, Frequency: 2
Term: bend, Frequency: 2
Term: knot, Frequency: 2
Term: undo, Frequency: 2
Term: lose, Frequency: 2
Term: sensat, Frequency: 2
Term: throat, Frequency: 2
Term: lone, Frequency: 2
Term: footstep, Frequency: 2
Term: ll, Frequency: 2
Term: ferret, Frequency: 2
Term: nowher, Frequency: 2
Term: quick, Frequency: 2
Term: messag, Frequency: 2
Term: directli, Frequency: 2
Term: drunk, Frequency: 2
Term: stoop, Frequency: 2
Term: save, Frequency: 2
Term: unhappi, Frequency: 2
Term: woman, Frequency: 2
Term: conclud, Frequency: 2
Term: snatch, Frequency: 2
Term: cucumb, Frequency: 2
Term: frame, Frequency: 2
Term: goos, Frequency: 2
Term: bear, Frequency: 2
Term: feebl, Frequency: 2
Term: barrow, Frequency: 2
Term: pebbl, Frequency: 2
Term: shower, Frequency: 2
Term: hit, Frequency: 2
Term: produc, Frequency: 2
Term: safe, Frequency: 2
Term: excel, Frequency: 2
Term: smallest, Frequency: 2
