Term: us, Frequency: 22
Term: deriv, Frequency: 2
Term: just, Frequency: 2
Term: whenev, Frequency: 2
Term: end, Frequency: 2
Term: lai, Frequency: 2
Term: foundat, Frequency: 2
Term: principl, Frequency: 2
Term: organ, Frequency: 2
Term: like, Frequency: 2
Term: shall, Frequency: 2
Term: seem, Frequency: 2
Term: safeti, Frequency: 2
Term: effect, Frequency: 2
Term: prudenc, Frequency: 2
Term: dictat, Frequency: 2
Term: chang, Frequency: 2
Term: accordingli, Frequency: 2
Term: light, Frequency: 2
Term: transient, Frequency: 2
Term: experi, Frequency: 2
Term: hath, Frequency: 2
Term: shewn, Frequency: 2
Term: evil, Frequency: 2
Term: accustom, Frequency: 2
Term: train, Frequency: 2
Term: pursu, Frequency: 2
Term: invari, Frequency: 2
Term: evinc, Frequency: 2
Term: reduc, Frequency: 2
Term: design, Frequency: 2
Term: despot, Frequency: 2
Term: duti, Frequency: 2
Term: throw, Frequency: 2
Term: guard, Frequency: 2
Term: futur, Frequency: 2
Term: patient, Frequency: 2
Term: now, Frequency: 2
Term: former, Frequency: 2
Term: present, Frequency: 2
Term: king, Frequency: 2
Term: direct, Frequency: 2
Term: fact, Frequency: 2
Term: prove, Frequency: 2
Term: let, Frequency: 2
Term: submit, Frequency: 2
Term: candid, Frequency: 2
Term: wholesom, Frequency: 2
Term: governor, Frequency: 2
Term: forbidden, Frequency: 2
Term: immedi, Frequency: 2
Term: press, Frequency: 2
Term: import, Frequency: 2
Term: oper, Frequency: 2
Term: obtain, Frequency: 2
Term: till, Frequency: 2
Term: utterli, Frequency: 2
Term: neglect, Frequency: 2
Term: accommod, Frequency: 2
Term: attend, Frequency: 2
Term: district, Frequency: 2
Term: relinquish, Frequency: 2
Term: inestim, Frequency: 2
Term: formid, Frequency: 2
Term: call, Frequency: 2
Term: togeth, Frequency: 2
Term: place, Frequency: 2
Term: purpo, Frequency: 2
Term: unusu, Frequency: 2
Term: uncomfort, Frequency: 2
Term: depositori, Frequency: 2
Term: distant, Frequency: 2
Term: record, Frequency: 2
Term: repr, Frequency: 2
Term: sole, Frequency: 2
Term: fatigu, Frequency: 2
Term: complianc, Frequency: 2
Term: measur, Frequency: 2
Term: repeatedli, Frequency: 2
Term: inva, Frequency: 2
Term: manli, Frequency: 2
Term: dissolut, Frequency: 2
Term: elect, Frequency: 2
Term: wherebi, Frequency: 2
Term: incap, Frequency: 2
Term: annihil, Frequency: 2
Term: return, Frequency: 2
Term: remain, Frequency: 2
Term: mean, Frequency: 2
Term: danger, Frequency: 2
Term: within, Frequency: 2
Term: popul, Frequency: 2
Term: prevent, Frequency: 2
Term: encourag, Frequency: 2
Term: migrat, Frequency: 2
Term: appropri, Frequency: 2
Term: land, Frequency: 2
Term: administr, Frequency: 2
Term: judiciari, Frequency: 2
Term: made, Frequency: 2
Term: depend, Frequency: 2
Term: alon, Frequency: 2
Term: tenur, Frequency: 2
Term: salari, Frequency: 2
Term: amount, Frequency: 2
Term: payment, Frequency: 2
Term: erect, Frequency: 2
Term: multitud, Frequency: 2
Term: swarm, Frequency: 2
Term: sent, Frequency: 2
Term: substanc, Frequency: 2
Term: harass, Frequency: 2
Term: eat, Frequency: 2
Term: kept, Frequency: 2
Term: stand, Frequency: 2
Term: affect, Frequency: 2
Term: militari, Frequency: 2
Term: combin, Frequency: 2
Term: superior, Frequency: 2
Term: subject, Frequency: 2
Term: constitut, Frequency: 2
Term: unacknowledg, Frequency: 2
Term: give, Frequency: 2
Term: quarter, Frequency: 2
Term: troop, Frequency: 2
Term: punish, Frequency: 2
Term: mock, Frequency: 2
Term: murder, Frequency: 2
Term: commit, Frequency: 2
Term: cut, Frequency: 2
Term: part, Frequency: 2
Term: trade, Frequency: 2
Term: tax, Frequency: 2
Term: depriv, Frequency: 2
Term: mani, Frequency: 2
Term: juri, Frequency: 2
Term: benefit, Frequency: 2
Term: beyond, Frequency: 2
Term: tri, Frequency: 2
Term: offenc, Frequency: 2
Term: neighbour, Frequency: 2
Term: english, Frequency: 2
Term: provinc, Frequency: 2
Term: arbitrari, Frequency: 2
Term: therein, Frequency: 2
Term: enlarg, Frequency: 2
Term: boundari, Frequency: 2
Term: exampl, Frequency: 2
Term: introduc, Frequency: 2
Term: fit, Frequency: 2
Term: instrument, Frequency: 2
Term: take, Frequency: 2
Term: awai, Frequency: 2
Term: charter, Frequency: 2
Term: valuabl, Frequency: 2
Term: fundament, Frequency: 2
Term: invest, Frequency: 2
Term: whatsoev, Frequency: 2
Term: abdic, Frequency: 2
Term: wage, Frequency: 2
Term: plunder, Frequency: 2
Term: ravag, Frequency: 2
Term: coast, Frequency: 2
Term: town, Frequency: 2
Term: burnt, Frequency: 2
Term: destroi, Frequency: 2
Term: mercenari, Frequency: 2
Term: work, Frequency: 2
Term: compleat, Frequency: 2
Term: desol, Frequency: 2
Term: death, Frequency: 2
Term: alreadi, Frequency: 2
Term: begun, Frequency: 2
Term: cruelti, Frequency: 2
Term: perfidi, Frequency: 2
Term: scarc, Frequency: 2
Term: parallel, Frequency: 2
Term: barbar, Frequency: 2
Term: unworthi, Frequency: 2
Term: head, Frequency: 2
Term: nation, Frequency: 2
Term: citizen, Frequency: 2
Term: fellow, Frequency: 2
Term: captiv, Frequency: 2
Term: taken, Frequency: 2
Term: high, Frequency: 2
Term: bear, Frequency: 2
Term: countri, Frequency: 2
Term: hand, Frequency: 2
Term: fall, Frequency: 2
Term: excit, Frequency: 2
Term: domest, Frequency: 2
Term: insurrect, Frequency: 2
Term: frontier, Frequency: 2
Term: amongst, Frequency: 2
Term: bring, Frequency: 2
Term: savag, Frequency: 2
Term: merciless, Frequency: 2
Term: indian, Frequency: 2
Term: warfar, Frequency: 2
Term: known, Frequency: 2
Term: undistinguish, Frequency: 2
Term: sex, Frequency: 2
Term: oppress, Frequency: 2
Term: stage, Frequency: 2
Term: humbl, Frequency: 2
Term: redress, Frequency: 2
Term: term, Frequency: 2
Term: answer, Frequency: 2
Term: princ, Frequency: 2
Term: charact, Frequency: 2
Term: thu, Frequency: 2
Term: mark, Frequency: 2
Term: defin, Frequency: 2
Term: want, Frequency: 2
Term: unfit, Frequency: 2
Term: ruler, Frequency: 2
Term: attent, Frequency: 2
Term: warn, Frequency: 2
Term: attempt, Frequency: 2
Term: extend, Frequency: 2
Term: remind, Frequency: 2
Term: emigr, Frequency: 2
Term: settlement, Frequency: 2
Term: nativ, Frequency: 2
Term: magnanim, Frequency: 2
Term: conjur, Frequency: 2
Term: ti, Frequency: 2
Term: kindr, Frequency: 2
Term: common, Frequency: 2
Term: inevit, Frequency: 2
Term: disavow, Frequency: 2
Term: interrupt, Frequency: 2
Term: correspond, Frequency: 2
Term: voic, Frequency: 2
Term: deaf, Frequency: 2
Term: consanguin, Frequency: 2
Term: must, Frequency: 2
Term: acquiesc, Frequency: 2
Term: denounc, Frequency: 2
Term: enemi, Frequency: 2
Term: rest, Frequency: 2
Term: gener, Frequency: 2
Term: america, Frequency: 2
Term: assembl, Frequency: 2
Term: congress, Frequency: 2
Term: suprem, Frequency: 2
Term: rectitud, Frequency: 2
Term: intent, Frequency: 2
Term: author, Frequency: 2
Term: name, Frequency: 2
Term: solemnli, Frequency: 2
Term: absolv, Frequency: 2
Term: publish, Frequency: 2
Term: allegi, Frequency: 2
Term: crown, Frequency: 2
Term: levi, Frequency: 2
Term: full, Frequency: 2
Term: conclud, Frequency: 2
Term: allianc, Frequency: 2
Term: contract, Frequency: 2
Term: commerc, Frequency: 2
Term: thing, Frequency: 2
Term: support, Frequency: 2
Term: relianc, Frequency: 2
Term: divin, Frequency: 2
Term: mutual, Frequency: 2
Term: pledg, Frequency: 2
Term: fortun, Frequency: 2
Term: sacr, Frequency: 2
Term: honor, Frequency: 2
Term: purpos, Frequency: 2
Term: repres, Frequency: 2
Term: invas, Frequency: 2
Term: ind, Frequency: 1
Term: dispo, Frequency: 1
Term: abu, Frequency: 1
Term: abus, Frequency: 1
Term: cour, Frequency: 1
Term: hou, Frequency: 1
Term: oppo, Frequency: 1
Term: exerci, Frequency: 1
Term: expo, Frequency: 1
Term: convul, Frequency: 1
Term: rai, Frequency: 1
Term: impo, Frequency: 1
Term: execut, Frequency: 1
Term: on, Frequency: 1
Term: unwarr, Frequency: 1
Term: cours, Frequency: 1
Term: represent, Frequency: 1
Term: hous, Frequency: 1
Term: oppos, Frequency: 1
Term: exercis, Frequency: 1
Term: expos, Frequency: 1
Term: convuls, Frequency: 1
Term: rais, Frequency: 1
Term: impos, Frequency: 1
Term: execution, Frequency: 1
Term: unwarrant, Frequency: 1
